banque,url_brochure_tarifaire,commission_mouvement_fixe,commission_mouvement_variable,virement_sepa_sortant,paiement_prelevement_sepa,ecriture_comptable,tenue_compte,actualisation_compte,banque_distance,total_frais_fixes
Banque Palatine,https://www.palatine.fr/fileadmin/user_upload/pdf/tarifs/TARIFS_2021_Entreprises07_21.pdf,"23,33","0,20","0,23","0,00","0,00","30,00","25,00","45,00","123,33"
Banque Populaire (Paris),https://www.rivesparis.banquepopulaire.fr/portailinternet/Editorial/Lists/DocEditoList/PROFESSIONNELENTREPRISE_2021V2.pdf?vary=0-0-0,"5,00","0,15","0,00","0,00","0,00","36,00","6,42","15,00","62,42"
BNP Paribas,https://dam.bnpparibas.com/sms2/externe/richMedia/vcm_1610019329684_8636677159746508782.zip/index.html#/page/0,"10,00","0,20","0,20","0,00","0,00","30,00","18,13","43,50","101,63"
BRED,https://www.bred.fr/medias/pdf/tarifs/2021/tarifs-entreprises-metropole-mars-2021.pdf,"15,83","0,20","0,28","0,00","0,00","26,00","15,83","40,00","97,66"
Caisse d’Épargne,https://www.caisse-epargne.fr/mbp-legales-contractuelles-telechargement.aspx?cle=xykLxBjepiuYRihq0zlcNxJqJBnq4ySKsBgq2E%2fGuXK05vN79wmkR%2bC54rL6ZMo%2f,"8,33","0,25","0,20","0,00","0,00","30,00","20,83","20,00","79,17"
CIC,https://www.cic.fr/partage/fr/CC/CIC-2015/telechargements/tarifs/CIC-Tarifs-Entreprises-2021.pdf,"14,00","0,20","0,21","0,00","0,10","34,00","16,67","39,00","103,67"
Crédit Agricole (Paris),https://www.credit-agricole.fr/content/dam/assetsca/cr882/npc/documents/tarifs-2021/Entreprises_T2021_16p_100x210_v07_WEB.pdf,"5,00","0,20","0,25","0,00","0,00","35,00","24,58","9,60","74,18"
Crédit Coopératif,https://www.credit-cooperatif.coop/telechargement-condition-generale?key=715uQGq3lRvdudmGhFCj2zS9%2f7MLDxDk6M6X4p9Or1%2fbHcM9EPBTIeBVOAZpOLGo,"8,33","0,18","0,20","0,00","0,00","60,00","4,58","16,00","93,08"
Crédit du Nord,https://www.credit-du-nord.fr/icd/static/wem/agora/cdn/conditions-tarifs/Brochure_TarifsDCEI_WEB_010721_CDN.pdf,"7,30","0,20","0,21","0,00","0,00","666,67","0,00","30,50","704,47"
Crédit Mutuel,https://www.creditmutuel.fr/partage/fr/CC/CMNE-2018/telechargements/tarifs/2021/entreprises.pdf,"7,00","0,07","0,21","0,00","0,00","27,00","20,83","33,00","87,83"
HSBC,https://www.business.hsbc.fr/-/media/library/markets-selective/france/pdfs/tarifs-cmb-vf-011020.pdf,"13,00","0,30","0,22","0,00","0,40","31,00","16,25","26,00","86,25"
La Banque Postale,https://www.labanquepostale.fr/content/dam/pmo/tarifs/01-2021/2021-Tarifs_entreprises_INT.pdf,"5,00","0,15","0,00","0,00","0,00","14,67","12,50","13,00","45,17"
LCL,https://portail-lcl-web.cdn.prismic.io/portail-lcl-web/f04d0d53-669e-45cd-8fbd-c3bf93c8c9c9_GUIDE+TARIFAIRE+2021.pdf,"15,00","0,20","0,22","0,00","0,00","30,00","29,75","34,45","109,20"
Société Générale,https://entreprises.societegenerale.fr/static/ent/ENT/EIE2015/_assets/docs/pdf/Tarifs_2021_FR.pdf,"8,00","0,20","0,21","0,00","0,00","30,00","27,50","29,90","95,40"
